Method,Iteration,Error,RE,Result,x1,x2
Jacobi,19,0.000344403917866739,0.547722557505166,Triunfa,-0.21431594175,0.9285452783
Gauss-Seidel,10,0.000329097077072754,0.3,Triunfa,-0.21431594175,0.92858956505
SOR-w1,27,0.000429366947335891,0.734746672975744,Triunfa,-0.214540875965637,0.928811021994336
SOR-w2,18,5.99205801167123e-05,0.5,Triunfa,-0.214301577412014,0.928565561900519
SOR-w3,100,4.58803981535497,1,Fracasa,-0.853357407132306,-3.49792368635694
