Iteración,xi,f(xi),Error
1,2.5,11.125,1.33256010122311
2,1.16743989877689,-1.57631747829391,0.236559671274285
3,1.40399957005117,-0.636414848616419,0.105985767951837
4,1.50998533800301,-0.0671346294871952,0.011293924179594
5,1.5212792621826,-0.00059697555551896,0.000100436874177712
6,1.52137969905678,-4.60512058374181e-08,7.74778663448217e-09
