N,xi_1,xi_2,E
1,2,1.2,2
2,1.12,1.224,0.88
3,1.2864,1.16928,0.1664
4,1.275008,1.1836416,0.0143616000000002
5,1.27154176,1.181809152,0.00346624000000006
6,1.2729679872,1.18174777344,0.00142622720000007
7,1.272707293184,1.1818382573568,0.000260694015999929
8,1.27272323842048,1.1818153770025,2.2880354304089e-05
9,1.27272920151491,1.18181816414503,5.96309442579823e-06
