Iteration,xn,fxn,Error
0,0,1,1.00001
1,1,-0.281718171540955,1.00001
2,0.780202717105698,-0.158693619249085,0.219797282894302
3,0.496678610138336,0.153218478153997,0.283524106967362
4,0.635952247009725,-0.0190368325556636,0.139273636871389
5,0.62056039120211,-0.0017111128981504,0.0153918558076145
6,0.61904026946867,2.40192824358942e-05,0.00152012173344029
7,0.619061312380364,-2.93068544987563e-08,2.10429116933586e-05
8,0.619061286736383,-5.00710584105946e-13,2.56439803836273e-08
