Method,Iteration,Error,RE,Result,x1,x2,x3
Jacobi,12,0.000372552068999337,0.438799134714622,Triunfa,0.219146850255784,-0.0377476672485213,1.46093105048346
Gauss-Seidel,9,0.000456252916442581,0.226778683805536,Triunfa,0.219139482764186,-0.0377837518061773,1.46095955998025
SOR-w1,13,0.0004736167137942,0.577204582845872,Triunfa,0.218723013391748,-0.0384449729107977,1.46152439557618
SOR-w2,59,0.000403630791725229,0.858458253325897,Triunfa,0.219312482789893,-0.0376297193317651,1.46075802747139
SOR-w3,100,1.15162119186352e+20,1.56699835796272,Fracasa,4.56702759894349e+19,6.7688132083267e+19,-6.08597386228481e+19
