Iteration,E,x1,x2,x3
1,80.2094861660079,125.090909090909,-4.66666666666667,-0.037874251497006
2,1.43538041883236,-287.314044637997,-96.1186944293232,-0.49121756487026
3,1.42644311511613,-5899.63757732469,225.396286215448,3.73658002720742
4,1.42644993463383,13834.3029232503,4583.4904823183,23.7611727930005
5,1.42445605293265,281284.65542167,-10798.5042282942,-178.112346353022
6,1.42436877974222,-662830.700204981,-218478.989195155,-1130.91810664492
7,1.42224611010211,-13407899.8840008,517420.963670505,8507.50769131574
8,1.42216160758143,31760111.8699897,10414188.5080707,53843.3296384352
9,1.4200616635835,639111213.900307,-24792047.0038338,-406340.382185774
10,1.41997790063999,-1521773438.37946,-496409264.618818,-2563464.43684083
