Iteration,xn,fxn,E
0,-1.5,0.25,1.0005
1,-0.25,-1.9375,1.25
2,-0.875,-1.234375,0.625
3,-1.1875,-0.58984375,0.3125
4,-1.34375,-0.1943359375,0.15625
5,-1.421875,0.021728515625,0.078125
6,-1.3828125,-0.08782958984375,0.0390625
7,-1.40234375,-0.0334320068359375,0.01953125
8,-1.412109375,-0.00594711303710938,0.009765625
9,-1.4169921875,0.00786685943603516,0.0048828125
10,-1.41455078125,0.000953912734985352,0.00244140625
11,-1.413330078125,-0.0024980902671814,0.001220703125
12,-1.4139404296875,-0.000772461295127869,0.0006103515625
13,-1.41424560546875,9.06325876712799e-05,0.00030517578125
